datumAb	datumBis	turnierbezeichnung	ort	ausrichtenderVerein	veranstalter	onlineMeldungAb	onlineMeldungBis	altersklassen	stilarten	anmeldelink
19.09.2026	19.09.2026	Boden Brottningarna	Boden	BK Snar	Norrbottens Brottningsförbund			GR, GR11, GR13, GR15, GR17, GR9, WW, WW11, WW13, WW15, WW17, WW9	Freistil, Gr.-röm.	https://ringen.liga-db.de/de/Turniere/Detail/25853
19.09.2026	20.09.2026	Dinaburg Cup 2026	Olympic Centre	Daugavpils	Lettland			U15FS, U15GR, U15WW, U17FS, U17GR, U17WW	Freistil, Gr.-röm.	https://ringen.liga-db.de/de/Turniere/Detail/25856
19.09.2026	19.09.2026	Avoimet TUL vapaapainin mestaruusk. ja ikäkausik.	Tampere	Tampereen Painiseura	Finnland			TULM	Freistil	https://ringen.liga-db.de/de/Turniere/Detail/25861
20.09.2026	20.09.2026	Spessartpokal 2026	Hösbach	KSC Hösbach	Hessen			U 08, U 10, U 12, U 14, U 17	Freistil	https://ringen.liga-db.de/de/Turniere/Detail/24834
27.09.2026	27.09.2026	12. Ewald "Bomber" Vogel Gedächtnisturnier	NSU - Obereisesheim	VfL Obereisesheim	Württemberg			U 10, U 12, U 14, U 8	Freistil	https://ringen.liga-db.de/de/Turniere/Detail/24576
27.09.2026	27.09.2026	Preis der Stadt Karlsruhe	Karlsruhe Daxlanden	ASV Daxlanden	Nordbaden			U10, U12, U14, U17, U8	Freistil	https://ringen.liga-db.de/de/Turniere/Detail/24686
27.09.2026	27.09.2026	37. Int. Mühlenbacher Jugendturnier	Mühlenbach 	VfK Mühlenbach	Südbaden			CJ, DJ	Freistil	https://ringen.liga-db.de/de/Turniere/Detail/24812
03.10.2026	04.10.2026	KLL:n mestaruuskilpailut, vapaapaini	Hollola	Mukkulan Riento	Finnland			p10, p13, p16, p20, t10, t14, t20	Freistil	https://ringen.liga-db.de/de/Turniere/Detail/24843
03.10.2026	03.10.2026	XVI Gustav Vahari MÄV	Lihula	Tartu maadleb	Estland			Kr-r U11 2015->, Kr-r U13 2013->, Kr-r U15 2011->, Kr-r U17 2009->, N U11 2015->, N U13 2013->, N U15 2011->, N U17 2009->	Freistil, Gr.-röm.	https://ringen.liga-db.de/de/Turniere/Detail/25855
09.10.2026	11.10.2026	Umeå Wrestling battle	Umeå	Umeå Brottning	Västernorrlands BF			FS 13, FS 15, FS 17, FS SM-viktklasser, GR 11, GR 13, GR 15, GR 17, GR 9, GR SM-viktklasser, WW 11, WW 13, WW 15, WW 17, WW 9, WW OS och SM	Gr.-röm.	https://ringen.liga-db.de/de/Turniere/Detail/24853
10.10.2026	10.10.2026	Lohi-painit	Kotka	Popinniemen Isku	Finnland			15, 17, t13, tu11, tu17, tu9, u09, u11, u13	Freistil, Gr.-röm.	https://ringen.liga-db.de/de/Turniere/Detail/25858
11.10.2026	11.10.2026	2. Rudi Mackamul Gedächtnisturnier	Wüstenrot - Neuhütten	AC Wüstenrot	Württemberg			U 10, U 12, U 14, U 8	Freistil, Gr.-röm.	https://ringen.liga-db.de/de/Turniere/Detail/24575
11.10.2026	11.10.2026	Anfängerturnier Neu-Isenburg	Neu-Isenburg	KSV Neu-Isenburg	Hessen	13.09.2026	04.10.2026	JG 16-20	Freistil	https://ringen.liga-db.de/de/Turniere/Detail/24837
17.10.2026	17.10.2026	VVV Cup XI	Vaasa	Vaasan Voima-Veikot	Finnland			13, 15, 17, GR11, GR20, GR9, W11, W17, WW13, WW15, WW20, WW9	Freistil, Gr.-röm.	https://ringen.liga-db.de/de/Turniere/Detail/24826
17.10.2026	17.10.2026	Nuorten Suomi Cup (Helsingin Haka)	Helsinki	Järvenpään Voimailijat	Finnland			+18 Miehet NSC, +18 Naiset NSC, Pojat U11, Pojat U13, Pojat U15, Tytöt U11, Tytöt U13, U17 Miehet NSC, U17 Naiset NSC	Freistil, Gr.-röm.	https://ringen.liga-db.de/de/Turniere/Detail/25859
18.10.2026	18.10.2026	30. Rolf Würges Gedächtnisturnier	Kirrlach	KSV Kirrlach	Nordbaden			U10, U12, U14, U17, U8, WJ	Freistil	https://ringen.liga-db.de/de/Turniere/Detail/24687
24.10.2026	25.10.2026	Georg Lurich tournament	Rakvere	SK Caaro	Estland			Girls U17, U13, U15, U17	Freistil, Gr.-röm.	https://ringen.liga-db.de/de/Turniere/Detail/24851
25.10.2026	25.10.2026	15. Goldbach Cup	Goldbach	AC Goldbach	Hessen			U08, U10, U12, U14, U17	Gr.-röm.	https://ringen.liga-db.de/de/Turniere/Detail/24838
25.10.2026	25.10.2026	45. Internationales Ostalb-Ringerturnier	Aalen	KSV Aalen 05 e.V.	Württemberg			U12, U14, U17, U20	Freistil	https://ringen.liga-db.de/de/Turniere/Detail/24848
07.11.2026	07.11.2026	Werner Seelenbinder Gedenkturnier	13051  Berlin	SV Preußen Berlin	Berlin	28.08.2026	28.10.2026	U 12, U 14, U 17, U 20	Freistil	https://ringen.liga-db.de/de/Turniere/Detail/25863
08.11.2026	08.11.2026	Anfängerturnier Krombach	KSC Krombach	KSC Krombach	Hessen	08.10.2026	01.11.2026	U 10, U 8	Freistil	https://ringen.liga-db.de/de/Turniere/Detail/24847
15.11.2026	15.11.2026	Goldstadtpokal	Pforzheim	SV 98 Brötzingen	Nordbaden			U10, U12, U14, U17, U8	Freistil	https://ringen.liga-db.de/de/Turniere/Detail/24688
22.11.2026	22.11.2026	30. Georg Grehmann Gedächtnis Turnier	Schwäbisch Hall	ASV Schwäbisch Hall	Württemberg			U 8	Freistil	https://ringen.liga-db.de/de/Turniere/Detail/24574
05.12.2026	05.12.2026	3. Offenes Fun-Turnier 2026	Heusweiler	AC Heusweiler	Saarland			AK1, AK2, AK3	Freistil	https://ringen.liga-db.de/de/Turniere/Detail/24842
06.12.2026	06.12.2026	23. Herbert Link Gedächtnisturnier	Lauffen am Neckar	KSV Lauffen	Württemberg			U 10, U 12, U 14, U 8	Freistil	https://ringen.liga-db.de/de/Turniere/Detail/24573
06.12.2026	06.12.2026	Anfängerturnier Dieburg	Dieburg	ASV Dieburg	Hessen	06.11.2026	29.11.2026	U 12, U 14, Ü 14	Freistil	https://ringen.liga-db.de/de/Turniere/Detail/24846
11.12.2026	13.12.2026	Helsinki Open Wrestling Tournament 2026	Helsinki	Helsingin Paini-Miehet (HPM)	Finnland			FS U11 BOYS, FS U13 BOYS, FS U15 BOYS, FS U17 BOYS, FS U17+, FS U9 BOYS AND GIRLS, WW U11 GIRLS, WW U14 GIRLS, WW U17 GIRLS, WW U17+	Freistil	https://ringen.liga-db.de/de/Turniere/Detail/24825
31.12.2026	31.12.2026	Vorlage Bayern	TODO	RCA Bayreuth	Oberfranken			Frauen, Freundschaftskämpfe, GR-Frauen, GR-Männer, GR-U10, GR-U12, GR-U14, GR-U17, GR-U20, GR-U8, Männer, U10, U12, U14, U17, U20, U8, W-U12, W-U14, W-U17, W-U20	Freistil, Gr.-röm.	https://ringen.liga-db.de/de/Turniere/Detail/24786
31.12.2026	31.12.2026	Testturnier Hanses	Feldkirchen	TV Feldkirchen	Bayern	12.06.2026	18.06.2026	Frauen, Freundschaftskämpfe, GR-Frauen, GR-Männer, GR-U10, GR-U12, GR-U14, GR-U17, GR-U20, GR-U8, Männer, U10, U12, U14, U17, U20, U8, W-U12, W-U14, W-U17, W-U20	Freistil, Gr.-röm.	https://ringen.liga-db.de/de/Turniere/Detail/24817
31.12.2026	31.12.2026	Andi-Walter-Turnier	Unterföhring	SC Unterföhring	Oberbayern	15.06.2026	12.07.2026	Frauen, Freundschaftskämpfe, GR-Frauen, GR-Männer, GR-U10, GR-U12, GR-U14, GR-U17, GR-U20, GR-U8, Männer, U10, U12, U14, U17, U20, U8, W-U12, W-U14, W-U17, W-U20	Freistil, Gr.-röm.	https://ringen.liga-db.de/de/Turniere/Detail/24820
31.12.2026	31.12.2026	Test JD	TODO	RCA Bayreuth	Oberfranken			Frauen, Freundschaftskämpfe, GR-Frauen, GR-Männer, GR-U10, GR-U12, GR-U14, GR-U17, GR-U20, GR-U8, Männer, U10, U12, U14, U17, U20, U8, W-U12, W-U14, W-U17, W-U20	Freistil, Gr.-röm.	https://ringen.liga-db.de/de/Turniere/Detail/24821
31.12.2026	31.12.2026	Kurs 2026	Jönköping	Arrangör	Distikt			FS11, FS15, FS9, GR11, GR13, GR15, GR9, WW11, WW9	Freistil, Gr.-röm.	https://ringen.liga-db.de/de/Turniere/Detail/25864
16.01.2027	16.01.2027	34. Saarland Ladies Open 2027 	Heusweiler	AC Heusweiler	Saarland			U14, U17, WA	Freistil	https://ringen.liga-db.de/de/Turniere/Detail/24840
27.02.2027	27.02.2027	22. offene LM  Männer gr.-röm u. Freistil	Riegelsberg	KV Riegelsberg	Saarland			MF, MG	Freistil, Gr.-röm.	https://ringen.liga-db.de/de/Turniere/Detail/24844
20.03.2027	20.03.2027	Wittelsbacher Land Turnier 2027	Aichach	TSV Aichach	Bayern	01.06.2026	14.03.2027	Frauen, Freundschaftskämpfe, GR-Frauen, GR-Männer, GR-U10, GR-U12, GR-U14, GR-U17, GR-U20, GR-U8, Männer, U10, U12, U14, U17, U20, U8, W-U12, W-U14, W-U17, W-U20	Freistil, Gr.-röm.	https://ringen.liga-db.de/de/Turniere/Detail/24819
01.11.2027	01.11.2027	Rauch Testturnier	TODO	1. AC Regensburg	Niederbayern/Oberpfalz	15.06.2026	30.11.2026	Frauen, Freundschaftskämpfe, GR-Frauen, GR-Männer, GR-U10, GR-U12, GR-U14, GR-U17, GR-U20, GR-U8, U10, U17, U20, U8, W-U12, W-U14, W-U17, W-U20	Freistil, Gr.-röm.	https://ringen.liga-db.de/de/Turniere/Detail/24818
31.12.2027	31.12.2027	AB-Testturnier	Bayreuth	RCA Bayreuth	Bayern	01.01.2025	31.12.2026	F-U10, F-U12, F-U14, F-U17, F-U8, F-WJ, F-WS, FK, G-U12, G-U14, G-U17	Freistil, Gr.-röm.	https://ringen.liga-db.de/de/Turniere/Detail/24271
31.12.2027	31.12.2027	Testturnier in Freising	TODO	SpVgg Freising	Oberbayern	10.06.2026	30.06.2026	Frauen, U8	Freistil	https://ringen.liga-db.de/de/Turniere/Detail/24814
